id,SMILES
C00001,O
C00007,O=O
C00011,O=C=O
C00014,N
C00022,CC(=O)C(=O)O
C00025,N[C@@H](CCC(=O)O)C(=O)O
C00026,O=C(O)CCC(=O)C(=O)O
C00027,OO
C00029,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
C00031,CC(=O)O
C00034,O=C(O)CC(=O)C(=O)O
C00035,NCC(=O)O
C00039,C[C@H](N)C(=O)O
C00040,O=C(O)CCC(=O)O
C00045,NCCCC[C@H](N)C(=O)O
C00046,O=CC(=O)O
C00047,N[C@@H](CC(=O)O)C(=O)O
C00048,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
C00053,O=CO
C00054,O=S(=O)(O)O
C00059,N=C(N)NCCC[C@H](N)C(=O)O
C00061,NC(=O)CC[C@H](N)C(=O)O
C00062,N[C@@H](CO)C(=O)O
C00064,C=O
C00069,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
C00070,CSCC[C@H](N)C(=O)O
C00074,NCCC[C@H](N)C(=O)O
C00077,[H+]
C00081,CC=O
C00083,NC(N)=O
C00084,[S]
C00085,O=NO
C00086,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00091,O=S(O)O
C00092,OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
C00094,N[C@@H](CS)C(=O)O
C00096,NCCC(=O)O
C00106,CCC(=O)C(=O)O
C00111,C[N+](C)(C)CCO
C00112,OCC(O)CO
C00117,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
C00118,OC[C@H]1OC(O)[C@H](O)[C@@H]1O
C00120,CC(C)C[C@H](N)C(=O)O
C00121,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
C00124,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O
C00129,CO
C00130,C[C@@H](N)C(=O)O
C00131,NCCCCN
C00291,NC(CCC(=O)O)C(=O)O
C00134,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
C00135,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
C00136,CC(C)C(=O)C(=O)O
C00143,O=C(O)[C@@H]1CCCN1
C00144,O=C(O)C[C@H](O)C(=O)O
C00147,NC(=O)C[C@H](N)C(=O)O
C00150,N[C@@H](CCS)C(=O)O
C00153,O=C(O)CC(O)(CC(=O)O)C(=O)O
C00154,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
