id,SMILES
C21154,CCC(O)CC(O)C/C=C(C)/C=C(C)/C=C(C)/C=C/C(=O)OC1CCCC(=O)OC(C(C)C/C(C)=C/C(C)C(O)CC(C)O)C/C=C(\C)CC1C
C15869,Cn1c(=O)[nH]c(=O)c2[nH]cnc21
C20834,COC1(NC(=O)C(C)NC(=O)CCC(N)C(=O)O)CN(S(=O)(=O)O)C1=O
C06311,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12
C18928,O=[N+]([O-])c1ccc2ccccc2c1
C18319,CCC1OC(=O)/C=C/C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)CC(C)C(=O)/C=C/C2OC2C1COC1OC(C)C(O)C(OC)C1OC
C12835,CCC1(C)CCSC1=O
C00943,NC(COP(=O)(O)O)C(=O)O
C18225,CCOP(=S)(OCC)O/N=C(\C#N)c1ccccc1
C14686,CC1CC2(C)C(CCC3C4CCC(=O)C4(C)CCC32)CC1O
C21919,COC(=O)C1C(C)OC2(C)CC(=O)C3OC12OC(C(C)/C=C(C)/C=C/C(O)=C1/C(=O)CNC1=O)C3C
C09945,COc1cc(O)c2c(c1)OCC(c1ccc(O)cc1OC)C2=O
C16773,CC(=O)N/C=C/SC1=C(C(=O)O)N2C(=O)C(C(C)O)C2C1
C18700,C=CC(=O)OCC
C04416,NC(=O)c1ncn(C2OC(CO)C(O)C2O)c1N
C13870,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C(O)CCC12
C20819,CC(=O)NC(CCC(C(=O)O)C(N)C(=O)O)C(=O)O
C09338,COc1ccc2cc1Oc1ccc(cc1)CC1c3c(cc(OC)c(OC)c3Oc3cc4c(cc3OC)CCN(C)C4C2)CCN1C
C22144,C[N+](C)(C)CC(O)P(=O)([O-])O
C11823,Nc1cc(O)cc(C(=O)O)c1
C14217,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2O
C14293,C=C(CC(CCc1ccccc1)c1ccccc1)c1ccccc1
C01742,O=C1CCC(C(=O)O)N1
C11310,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)OC1OC(C(=O)O)C(O)C(O)C1O)cn2C1CC1
C12666,C#C/C=C/CC1CCCC2(CCCC(O)C2/C=C/C#C)N1
C12685,O=c1[nH]oc2c1CCNC2
C20629,CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2O)Oc2ccc(cc2Cl)C1O
C03968,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
C22053,O=C(NC1COC(=O)C(NC(=O)c2cc(C3OC(CO)C(O)C(O)C3O)cc(O)c2O)COC(=O)C(NC(=O)c2cc(C3OC(CO)C(O)C(O)C3O)cc(O)c2O)COC1=O)c1cc(C2OC(CO)C(O)C(O)C2O)cc(O)c1O
C00093,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1
C16122,CSc1nc(N)nc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O
C12864,O=C1Nc2c(cc([N+](=O)[O-])c3c2CCCC3)/C1=N\O
C13743,CCC(C)c1ccccc1O
C07371,C=C1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C12
C03708,CC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2
C11160,C=C1Oc2cc(OC)cc(C(=O)OC3COC(=O)CC(N)c4cc(O)c(c(Cl)c4)OC4c5ccc3cc5C3=CC=CC34OC3OC(C)(C)C(N(C)C)C(O)C3O)c2NC1=O
C19315,CCCCCCCCCCCC(O)CC(=O)NC1C(OP(=O)(O)OC2OCC(N)C(O)C2O)OC(COC2OC(CO)C(OP(=O)(O)O)C(OC(=O)CC(O)CCCCCCCCCCC)C2NC(=O)CC(O)CCCCCCCCCCC)C(O)C1OC(=O)CC(O)CCCCCCCCCCC
C08149,CCCC#CC#C/C=C/C(=O)OC
C02352,CC(=O)/C=C/C1(O)C(C)=CC(=O)CC1(C)C
C14164,COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC
C04403,CCCCCC(=O)/C=C/C1C(O)CC(=O)C1CCCCCCC(=O)O
C07968,N#C/C(=C\COC1OC(CO)C(O)C(O)C1O)CO
C20376,OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)C(OC2OCC(O)C(O)C2O)C(O)C1O
C11142,O=C(O)C1(O)C=Cc2ccc3ccccc3c2O1
C20795,O=C1OC(C(=O)O)C(O)C(O)C1O
C03225,CC(N)c1ccc(O)cc1
C17604,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1
C06701,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
C19698,OCCCCC(O)CO
C22017,O=C1NC(Cc2c[nH]c3ccccc23)C(=O)NC1Cc1ccccc1
C10135,C=C1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C(C)C1C)C23
C00031,CC(=O)O
C21812,CCCCCCCC/C=C\C/C=C\CCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
C16222,C=CC1CN2CCC1CC2C(=O)c1ccnc2ccc(OC)cc12
C21382,CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)OC(CO)C(OC2OC(CO)C(OP(=O)(O)OCC(O)COP(=O)(O)OCC(O)CO)C(O)C2NC(C)=O)C1O
C11806,CC(=O)/C=C/c1ccc(O)cc1
C15276,CC(=O)C(O)COP(=O)(O)O
C04724,CC(C)=CCCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)C(C)C1CC3
C14283,CC/C(=C(/CC)c1ccc(OC)cc1)c1ccc(O)cc1
C15664,O=CNC1COC(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)C(O)C1O
C10859,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1
C06415,O=C(O)c1ccc(O)cc1C(=O)O
C14547,CC(c1nc(-c2ccc(C#N)cc2)cs1)C(Cn1cncn1)(OCOP(=O)(O)O)c1ccc(F)cc1F
C00469,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O
C09735,CN(C)C(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC1C(=O)NC(Cc2ccccc2)C(=O)N/C=C\c2ccc(cc2)OC1c1ccccc1
C16506,COC1=CC(C)C2CC3OC(=O)CC4C(C)(O)C(OC)C(OC(C)=O)C(C2(C)C1=O)C34C
C07185,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
C01864,O=C1O/C(=C\c2ccc(O)cc2)C(O)=C1c1ccc(O)cc1
C05349,Nc1ccc(O)cc1C(=O)CC(=O)C(=O)O
C06491,CCC1CC2CCC(O2)C(C)C(=O)OC(CC)CC2CCC(O2)C(C)C(=O)OC(CC)CC2CCC(O2)C(C)C(=O)OC(CC)CC2CCC(O2)C(C)C(=O)O1
C05513,CC(C)=CCC/C(C)=C/Cc1ccccc1O
C00005,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1
C10729,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
C11571,CCCCCCC(=O)NC1CCOC1=O
C06096,CC1=C(CCC(=O)O)C2=NC1(C)CC1=N/C(=C(/C)C3=NC(C)(C4N=C(C2C)C(C)(CCC(=O)O)C4CC(=O)O)C(C)(CC(=O)O)C3CCC(=O)O)C(C)(CC(=O)O)C1CCC(=O)O
C18616,CCCCCCCCS(=O)C(C)Cc1ccc2c(c1)OCO2
C14307,CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC
C17302,COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1C1OC(CO)C(O)C(O)C1O
C10880,CS(=O)(=O)O
C21290,O=C(O)C1C=CCC2=C1Nc1ccccc1N2
C16035,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
C07941,C=C(CO)C(C#N)OC1OC(CO)C(O)C(O)C1O
C09455,CC1=CC2OC3CC4OC(=O)/C=C\C=C\C(C(C)O)OCCC(C)C(O)C(=O)OCC2(CC1)C4(C)C31CO1
C17811,COc1cc(C(=O)O)cc(C(=O)/C=C(\C=C(\O)C(=O)O)C(=O)O)c1O
C01801,CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
C17732,Oc1ccc2ccc3c4c(ccc1c24)=CC1OC31
C10172,O=C(O)/C=C/c1ccc(O)c(OC2OC(CO)C(O)C(O)C2O)c1
C19526,Oc1ccc2c3c1OC1c4oc5ccccc5c4CC4(O)C(C2)N(CC2CC2)CCC314
C08913,CC1(C(=O)O)CCCC2(C)c3cc(O)ccc3CCC12
C16373,CC(CCCC(CO)CO)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
C09061,Oc1ccc(C2Oc3cc(O)cc(O)c3CC2O)cc1
C01744,CC12CCCC1C1C(=O)CC3CCCCC3(C)C1CC2
C20987,CCCCC/C=C\C/C=C\CCCC/C=C\CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
C16645,CSCCCCC(C(=O)O)C(O)C(=O)O
C21756,CC1=C(C/C=C(\C)CCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CO)C(=O)c2ccccc2C1=O
C16804,CC(C)CC(=O)OC1OC=C(COC2OC(CO)C(O)C(O)C2O)C2CC(O)C(O)(CO)C12
C09031,C=C1C(=O)OC2/C=C(\CO)CC/C=C(\CO)CC(OC(=O)C(C)C)C12
C18670,C=CC(=C)Cl
C14614,CCOC(=O)C1CCC2c3ccc(OC)cc3CCN2C1
C05651,NC(CCC(=O)NN1CCCC1C(=O)O)C(=O)O
