id,SMILES
C02723,COc1cc(/C=C/C(=O)O)cc(OC)c1OC1OC(CO)C(O)C(O)C1O
C14511,CCCCCC(O)/C=C/C1OC1C/C=C\C/C=C\CCCC(=O)O
C06839,CC1=CC(=O)C(CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2OP(=O)(O)O)C1(C)C
C16909,CC1OC(OC2CCC3(C=O)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C(O)C(O)C1O
C14604,NC(CCC(=O)NC(C[S+]1CC1)C(=O)NCC(=O)O)C(=O)O
C09244,C=C(C)C1(O)C2OC(=O)C1C1(O)C3OC3C3(CO3)C1(C)C2O
C00487,CCCCCCCC/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
C18037,N#Cc1sc2c(=O)c3ccccc3c(=O)c=2sc1C#N
C06019,Nc1cccc(S(=O)(=O)O)c1
C01816,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
C13624,CCCCCCC(O)C(Cl)CCCCCCCC(=O)O
C15714,O=C(O)C(=O)/C=C/c1cc2ccccc2cc1O
C10959,CC(C)(C)C(O)C(Cc1ccc(Cl)cc1Cl)n1cncn1
C02729,NC1CCOC1=O
C18947,CC12CCC3c4ccc(OC(=O)Cc5ccc(N(CCCl)CCCl)cc5)cc4CCC3C1CCC2OC(=O)Cc1ccc(N(CCCl)CCCl)cc1
C15074,CC(=O)OC1CCC2(C)C(CCC3C2CCC2(C)C(OC(C)=O)CCC32)C1
C00072,O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
C14169,Sc1nc2ccccc2s1
C08202,CC/C=C\CC1C(=O)CCC1CC(=O)O
C06313,CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O
C05772,CC1CCC(/C(C=O)=C/O)C1C=O
C10470,COc1cc(C2c3cc4c(c(OC)c3CC3COC(=O)C32)OCO4)cc(OC)c1OC
