id,SMILES
C08602,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(O)CC65O)C4)OC3C)OC2C)CC(O)C1O
C07275,Cc1ccccc1-n1c(C)nc2ccccc2c1=O
C05193,CC12CCC(=O)CC1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12
C15699,COc1cc2c(=O)c(-c3ccc(O)cc3)coc2cc1OC1OC(CO)C(O)C(O)C1O
C09033,C=C1C(=O)OC2C1CCC(C)C1C=CC(=O)C12C
C13896,Oc1ccc(C2CC(c3ccccc3)CC(c3ccccc3)C2)cc1
C06875,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1
C06466,CC/C=C\CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
C01164,NC1(C(=O)O)CC1
C16957,COc1cc2c(cc1O)CC[N+](C)(C)C2Cc1ccc(O)cc1
C08807,CC(=O)OC1CC2(C)C(CCC(O)C2(C)O)C(C=O)(CC(O)c2ccoc2)C1C
C01710,O=C(O)C1CCCN1C(=O)C1CCCN1C(=O)C1CCCN1
C08446,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)CC(OC(C)=O)(C5C6OC(=O)c5ccc(OC)c(OC)c5)C(C(OC)C23)C14
C18158,CCOP(=S)(OCC)SCSC(C)(C)C
C06341,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
C00177,CC(C)C(N)C(=O)O
C08592,COC1C(O)C(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)OC(C)C1OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O
C18719,CC1CN1
C07208,CNC1(C)C2CCC(C2)C1(C)C
C07088,CC(C)NCC(O)COc1cccc2ccccc12
