id,smiles
cpd15456,CC(=O)NC1C(C)OC(OC2C(C(=O)[O-])OC(OC3C(CO)OC(OC4C(O)C(OC5C(C(=O)[O-])OC(OC6C(CO)OC(OC7C(O)C(OC8C(C(=O)[O-])OC(OC9C(CO)OC(OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C(NC(C)=O)C9O)C(NC(C)=O)C8O)OC(C)C7NC(C)=O)C(NC(C)=O)C6O)C(NC(C)=O)C5O)OC(C)C4NC(C)=O)C(NC(C)=O)C3O)C(NC(C)=O)C2O)C(O)C1O
cpd00945,O=C([O-])C(=O)CC(O)C(O)COP(=O)([O-])[O-]
cpd10596,O=C([O-])C(O)C(=O)C(O)C(O)COP(=O)([O-])[O-]
cpd15516,CC(=O)NC1C(OC2C(OCC3OC(OC4C(O)C(C)OC(OC5C(O)C(COC6OC(CO)C(O)C(O)C6O)OC(OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C5NC(C)=O)C4OC(C)=O)C(O)C(O)C3O)OC(C(O)CO)C2O)OC(COC2OC(CO)C(O)C(O)C2O)C(O)C1OC1OC(C)C(O)C(OC2OC(COC3OC(C(O)CO)C(O)C3O)C(O)C(O)C2O)C1OC(C)=O
cpd00367,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
cpd15575,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OC1OCC(N)(C=O)C(O)C1O
cpd00146,NC(=O)OP(=O)([O-])[O-]
cpd01710,CC(C)C(=CC(=O)[O-])C(=O)[O-]
cpd00530,O=c1[nH]c(=O)c2ncn(C3OC(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)C(O)C3O)c2[nH]1
cpd15469,CCCCCCCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(=O)OC1C(NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(OCC2OC(OP(=O)([O-])[O-])C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C2O)OC(COC2(C(=O)O)CC(OC3(C(=O)O)CC(OC4(C(=O)O)CC(O)C(O)C(C(O)CO)O4)C(OC4OC(C)C(O)C(O)C4O)C(C(O)CO)O3)C(OC3OC(C(O)CO)C(OP(=O)([O-])[O-])C(OC4OC(C(O)COC5OC(C(O)CO)C(O)C(O)C5O)C(OP(=O)([O-])[O-])C(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(O)C5O)C4O)C3O)C(C(O)CO)O2)C1OP(=O)([O-])[O-]
cpd04089,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CC[NH+](C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C
cpd00521,Cc1cn(C2CC(O)C(COP(=O)([O-])OP(=O)([O-])OC3OC(C)C(=O)C(O)C3O)O2)c(=O)[nH]c1=O
cpd00880,O=C([O-])C1OC(OP(=O)([O-])[O-])C(O)C(O)C1O
cpd00018,Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])[O-])C(O)C1O
cpd02210,O=P([O-])([O-])OCC(O)C(O)c1c[nH]c2ccccc12
cpd26449,CCCCCCC1CC1CCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCCCCC1CC1CCCCCC
cpd00443,Nc1ccc(C(=O)[O-])cc1
cpd01080,CCCCCCCCCCCCCCCCCC(=O)[O-]
cpd00002,Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)C(O)C1O
cpd00130,O=C([O-])CC(O)C(=O)[O-]
cpd00036,O=C([O-])CCC(=O)[O-]
cpd01775,N=c1c2ncn(C3OC(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)C(O)C3O)c2ncn1C1OC(COP(=O)([O-])[O-])C(O)C1O
