id,SMILES
1,C=C(O)COCC(C)O
2,OCC1OCCCC1O
3,CC(O)C(C)OCCO
4,OCC1CCC(O)CO1
5,COCC(O)CCCO
6,C=CC(O)OC=CC
7,COC(=O)C(=O)C(C)C(=O)O
8,C=CCC(O)C(=O)OC
9,COCC(C)(O)C(C)=O
10,CCC(C)OC(O)C(=O)O
11,OCC1CCOCC1O
12,CCOC(=O)C1(C=O)CO1
13,C=CCC(=O)OCC=O
14,CCC(OC(=O)CO)C(=O)O
15,COC(C)C(O)CCO
16,CCC(O)(CC(=O)O)OC
17,O=C1C=COC(CO)C1
18,CC1OC1CC(O)CO
19,CCC1OC1C(O)CO
20,COCC1OC(O)CC1O
21,COC(CCO)C(C)O
22,CC1(O)CC(=O)C=CO1
23,CC(=O)OC(C)C(C)=O
24,CC(=O)CCC(=O)OC=O
25,OCC1C(O)CC2OC21
26,O=C(O)OC1=CC=CC1
27,CC(=O)C(C)=C(C)O
28,CC1C=CC(=O)C(O)O1
29,CC1C=C(CO)C(=O)O1
30,OCC1CC(O)C2OC12
31,C=C(C(=O)O)C(=O)CC
32,CCC(OCCO)C(=O)O
33,CCOC(=O)CC(C)=O
34,OCC1=CCOC=C1
35,CC(=O)C=C(C)CO
36,CCC1OC(=O)C(=O)C1O
37,CCC(O)C1OC1CO
38,CC(O)C1OC1CCO
39,CC1=CC(=O)C=C1
40,C=CCC1OCC(O)O1
41,O=CC1=COCCC1=O
42,CC1OC1C(O)CCO
43,CC1=C(C(=O)O)C(=O)CO1
44,CC1OC(=O)C(C)C1O
45,C=C(C)OC(=O)C(C)=O
46,CC1=C(O)C(=O)C(C)O1
47,COC(=O)C(C)=CC=O
48,CC1CC(=O)OCC1=O
49,CC1CC(O)CC(=O)O1
50,CC(C=CO)CCO
51,O=C(O)C1C2COC(O)C21
52,O=C1CCC(C(O)CO)O1
53,CCC1=CC(=O)OC1O
54,C=C=C(C)C(=O)OC
55,CC1CC(O)CC(O)O1
56,CC1OC(O)CCC1O
57,C=CC1=CC(=O)OC1
58,CCOC(=O)C1(C(=O)O)CO1
59,CC1=C(O)COCC1=O
60,CC=C1C=CC(=O)O1
61,C=C(O)C(O)CCC
62,CC1=CC=COC1O
