id,SMILES
C20358,O=C(O)c1ccc(C(=O)O)o1
C21168,CC(C)(O)C=O
C05914,O=C(O)CCC(O)C=C(O)C(=O)O
C19256,O=C1COC(CO)C=C1O
C15817,CCC=CCC=O
C18725,CC(=O)CC(C)C
C15221,CC(=O)CC(C)=O
C05957,CCCC(=O)C(=O)O
C21265,CCCC
C01290,CCCCCCCC
C18212,CC1OC(C)OC(C)OC(C)O1
C12216,O=CCCCC=O
C07832,OC1CC(O)C(O)C(O)C1O
C05031,O=C(O)C1=CC(O)OC(C(=O)O)=C1
C20349,OCc1ccco1
C01115,O=C(O)C(=O)CC(O)C(O)C(O)C(O)CO
C03799,O=C(O)CC(C=CC(=O)C(=O)O)C(=O)O
C06022,O=C(O)c1ccc(C(=O)O)cc1
C03363,COC1OC(CO)C(O)C(O)C1O
C11643,COC(C)(CC=O)C(O)C(C)O
C05800,O=C(O)CCCCC(=O)O
C17804,CCOC1=C(O)C(C(O)CO)OC1=O
C12042,O=C(O)C(=O)c1cc(O)cc(O)c1
C01848,CCC(C(=O)O)C(O)C(=O)O
C16093,O=CCCCCCC(=O)O
C05835,C#CCCO
C03523,CC(O)(CC(=O)O)CC(=O)O
C05315,COc1cc(C(=O)O)cc(O)c1O
C06485,CC(C=O)=CC=C(O)C(=O)O
C03341,CC(O)CC(=O)C(=O)O
C01636,CC(=O)CC(=O)CC(=O)O
C03437,O=C(O)C=CC(O)=CC(=O)O
C03925,O=C(O)C1=CC=CC(O)C1O
C19699,CC(O)CCO
C00450,OCC1OC=C(O)C(O)C1O
C05298,O=C(O)C=CC(=CC(=O)O)CC(=O)O
C02108,O=C1OCC(O)C(O)C1O
C11061,COC(C)(C)C
C04442,O=C(O)C1CCC(O)C(O)C1
C02083,CCC(=O)CC(=O)O
C06954,CC(C)=CCCC(C)O
C20950,CC1OC(O)CC(O)C1O
C02732,O=C(O)C(=O)C(O)C(O)CO
C03037,O=C(O)c1cc(O)c(O)cc1C(=O)O
C20600,CC(C=CC=O)=CC=CO
C00596,O=C(O)c1cc(O)ccc1O
C05993,COc1cc(CO)ccc1O
C00555,O=C(O)c1cccc(O)c1
C01209,O=C(O)CC1(C(=O)O)C=CC(=O)O1
C00619,O=C1OC(CO)C(O)C1O
C06783,O=C1C=CC(=O)C(O)=C1
C06180,O=C1COC(CO)C(O)C1O
C14113,CCc1cccc(O)c1
C07165,CC(C=CC(=O)C(=O)O)C(=O)O
C20947,OCC(O)C1OC(O)C(O)C(O)C1O
C02633,Oc1ccc(O)c(O)c1
C01520,O=C(O)C(O)C(O)CO
C12020,CCCCOC(C)=O
C00530,O=C1CCCC1
C00464,O=C(O)CCCC(=O)O
C20809,O=C(O)C(O)C1OCC(O)C1O
C05110,O=C(CO)CC(=O)C(=O)O
C07006,CC(C)=CC=O
C00553,OCC1OC(O)CC(O)C1O
C20807,O=C(O)c1ccc(C(O)O)o1
C02021,O=C(O)C=CC(=O)CC(=O)C(=O)O
C01672,OC1COC(O)C1O
C03109,Cc1cc(O)cc(O)c1O
C00301,O=C(O)CC(C(=O)O)C(O)C(=O)O
C13718,OCc1ccc(O)c(O)c1
C02872,O=C(O)CCC=CC(=O)C(=O)O
C10546,O=C(O)c1ccccc1CO
C15200,O=c1cccccc1O
C03730,O=C(O)C=C(O)C(=O)O
C03511,Oc1cc(O)c(O)c(O)c1
C05080,O=C1C(O)C(O)OC(CO)C1O
