id,SMILES
YMDB01377,C#CCO
YMDB01338,C1CCNCC1
YMDB01400,C1CSCN1
YMDB01685,C=C(C)C(=O)OCC
YMDB01329,C=C(C)C(=O)OCCCC
YMDB01648,C=C(C)C1CC=C(C)C(=O)C1
YMDB00200,C=C(C)CCOP(=O)(O)OP(=O)(O)O
YMDB00606,C=C(C=CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C)C(C)C
YMDB00716,C=C(CC(=O)O)C(=O)O
YMDB01488,C=C(CCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)C(C)C1CC3)C(C)C
YMDB00545,C=C(CCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)CC1CC3)C(C)C
YMDB00605,C=C(CCC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C)C(C)C
YMDB00540,C=C(CCC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C)C(C)C
YMDB00314,C=C(OC1C=C(C(=O)O)C=CC1N)C(=O)O
YMDB00148,C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)O
YMDB00361,C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O
YMDB00276,C=C(OP(=O)(O)O)C(=O)O
YMDB01413,C=C1C=CCC(C)(C)C12CCC(C)O2
YMDB01753,C=CC(=C)CCC=C(C)C
YMDB01444,C=CC(=O)CCCCC
YMDB01746,C=CC(=O)OCC(C)C
YMDB01728,C=CC(C)(CCC=C(C)C)OC(C)=O
YMDB01714,C=CC(C)(O)CC=CC(=C)C
YMDB01611,C=CC(C)(O)CC=CC(C)(C)O
YMDB01599,C=CC(C)(O)CCC(O)C(=C)C
YMDB01371,C=CC(C)(O)CCC=C(C)C
YMDB01762,C=CC(C)=CCCC(C)(C)O
YMDB01352,C=CC(O)CCCCC
YMDB01678,C=CC1(C)CCC(C(C)(C)O)O1
YMDB00055,C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C
YMDB01583,C=CC=CC(C)OCC
YMDB01574,C=CC=Cc1c(C)ccc(C)c1C
YMDB00812,C=CC=O
YMDB01367,C=CCCCCCC(=O)OCC
YMDB01414,C=CCCCCCCC(CC)C(=O)O
YMDB01528,C=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
YMDB01366,C=CCCCCCCCC(=O)OCC
YMDB01614,C=CCc1cc(OC)c(O)c(OC)c1
YMDB01613,C=CCc1ccc(O)c(OC)c1
YMDB01335,C=COCC
YMDB00156,C=Cc1c2[nH]c(c1C)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(C)c1CCC(=O)O)Cc1[nH]c(c(C)c1C=C)C2
YMDB01624,C=Cc1ccc(O)c(OC)c1
YMDB01627,C=Cc1ccc(O)cc1
YMDB00321,C=O
YMDB01526,CC(=CCC1=C(C)C(=O)c2ccccc2C1=O)CCCC(C)CCCC(C)CCCC(C)C
YMDB00175,CC(=O)C(=O)O
YMDB00177,CC(=O)C(C)(O)C(=O)O
YMDB01634,CC(=O)C(C)=CC1C(C)=CCCC1(C)C
YMDB00367,CC(=O)C(C)=O
YMDB00410,CC(=O)C(C)O
YMDB00695,CC(=O)C(N)C(=O)O
YMDB00208,CC(=O)C(O)COP(=O)(O)O
YMDB01451,CC(=O)C1=NCCC1
YMDB01448,CC(=O)C1=NCCS1
YMDB00607,CC(=O)C1C(O)CCC2(C)C3=C(CCC12)C1CCC(C(C)CCC=C(C)C)C1(C)CC3
YMDB01609,CC(=O)C=CC1=C(C)C(=O)CCC1(C)C
YMDB01643,CC(=O)C=CC1=C(C)CCCC1(C)C
YMDB00170,CC(=O)C=O
YMDB01415,CC(=O)CC(C)(C)S
YMDB00877,CC(=O)CCC=C(C)C
YMDB01701,CC(=O)CCC=C(C)CCC=C(C)C
YMDB00892,CC(=O)CN
YMDB01695,CC(=O)Cc1ccco1
YMDB00833,CC(=O)N1CCCC1C(=O)O
YMDB00873,CC(=O)NC(C(=O)O)C(C)C
YMDB00855,CC(=O)NC(C)C(=O)O
YMDB00829,CC(=O)NC(CC(C)C)C(=O)O
YMDB00066,CC(=O)NC(CCC(=O)O)C(=O)O
YMDB01757,CC(=O)NC(CCC(N)=O)C(=O)O
YMDB00255,CC(=O)NC(CCC=O)C(=O)O
YMDB01633,CC(=O)NC(CCCCN)C(=O)O
YMDB00810,CC(=O)NC(CO)C(=O)O
YMDB00820,CC(=O)NC(CS)C(=O)O
YMDB00823,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O
YMDB00996,CC(=O)NC(Cc1ccc(O)cc1)C(=O)O
YMDB00860,CC(=O)NC(Cc1ccccc1)C(=O)O
YMDB00737,CC(=O)NC1C(O)OC(COP(=O)(O)O)C(O)C1O
YMDB00315,CC(=O)NCCC=O
YMDB00489,CC(=O)NCCCC(=O)O
YMDB00209,CC(=O)NCCCC=O
YMDB00738,CC(=O)NCCCCN
YMDB00329,CC(=O)NCCCCNCCCN
YMDB00366,CC(=O)NCCCNCCCCN
YMDB00339,CC(=O)NCCCNCCCCNCCCN
YMDB00056,CC(=O)O
