Name	Reactants	SMARTS	Products	Comments
1,2-BenzoquinoneAdditionCyclization	Any	[#7H2,SH1:11]-[#6:10]-[#6:9]-[#6:6]-1=[#6:1]-[#6:2](=[O:8])-[#6:3](=[O:7])-[#6:4]=[#6;h1:5]-1>>[#8:8]-[#6:2]-1=[#6:3](-[#8:7])-[#6:4]=[#6:5]-2-[*:11]-[#6:10]-[#6:9]-[#6:6]-2=[#6:1]-1	Any	 1246050; 17503772
1,2-BenzoquinoneAlphaAddition_1,2-Benzoquinone	Any;cpd01569	[#6:10]-[#7H2,#16H1:9].[O:7]=[#6:3]-1-[#6;h1:4]=[#6:5]-[#6:6]=[#6:1]-[#6:2]-1=[O:8]>>[#6:10]-[*:9]-[#6:4]-1=[#6:5]-[#6:6]=[#6:1]-[#6:2](-[#8:8])=[#6:3]-1-[#8:7]	Any	Dudley ED, Hotchkiss JH (1989) J Food Biochem 13: 65-75; 2691341
1,2-BenzoquinoneAlphaAddition_Cystine	Any;cpd00084	[O:7]=[#6:3]-1-[#6;h1:4]=[#6:5]-[#6:6]=[#6:1]-[#6:2]-1=[O:8].[#6:10]-[#7H2,#16H1:9]>>[#6:10]-[*:9]-[#6:4]-1=[#6:5]-[#6:6]=[#6:1]-[#6:2](-[#8:8])=[#6:3]-1-[#8:7]	Any	Dudley ED, Hotchkiss JH (1989) J Food Biochem 13: 65-75; 2691341
1,2-BenzoquinoneAlphaAddition_Glutathione	Any;cpd30635	[O:7]=[#6:3]-1-[#6;h1:4]=[#6:5]-[#6:6]=[#6:1]-[#6:2]-1=[O:8].[#6:10]-[#7H2,#16H1:9]>>[#6:10]-[*:9]-[#6:4]-1=[#6:5]-[#6:6]=[#6:1]-[#6:2](-[#8:8])=[#6:3]-1-[#8:7]	Any	Dudley ED, Hotchkiss JH (1989) J Food Biochem 13: 65-75; 2691341
1,2-BenzoquinoneAlphaAddition_Lysine	Any;cpd00039	[O:7]=[#6:3]-1-[#6;h1:4]=[#6:5]-[#6:6]=[#6:1]-[#6:2]-1=[O:8].[#6:10]-[#7H2,#16H1:9]>>[#6:10]-[*:9]-[#6:4]-1=[#6:5]-[#6:6]=[#6:1]-[#6:2](-[#8:8])=[#6:3]-1-[#8:7]	Any	4980678
1,2-BenzoquinoneBetaAddition_1,2Benzoquinone	Any;cpd01569	[#6:10]-[#7,#16;H1:9].[O:7]=[#6:3]-1-[#6:4]=[#6;h1:5]-[#6:6]=[#6:1]-[#6:2]-1=[O:8]>>[#6:10]-[*:9]-[#6:5]-1=[#6:4]-[#6:3](-[#8:7])=[#6:2](-[#8:8])-[#6:1]=[#6:6]-1	Any	Dudley ED, Hotchkiss JH (1989) J Food Biochem 13: 65-75; 2691341
1,2-BenzoquinoneBetaAddition_Cystine	Any;cpd00084	[O:7]=[#6:3]-1-[#6:4]=[#6;h1:5]-[#6:6]=[#6:1]-[#6:2]-1=[O:8].[#6:10]-[#7,#16;H1:9]>>[#6:10]-[*:9]-[#6:5]-1=[#6:4]-[#6:3](-[#8:7])=[#6:2](-[#8:8])-[#6:1]=[#6:6]-1	Any	Dudley ED, Hotchkiss JH (1989) J Food Biochem 13: 65-75; 2691341
1,2-BenzoquinoneBetaAddition_Glutathione	Any;cpd30635	[O:7]=[#6:3]-1-[#6:4]=[#6;h1:5]-[#6:6]=[#6:1]-[#6:2]-1=[O:8].[#6:10]-[#7,#16;H1:9]>>[#6:10]-[*:9]-[#6:5]-1=[#6:4]-[#6:3](-[#8:7])=[#6:2](-[#8:8])-[#6:1]=[#6:6]-1	Any	Dudley ED, Hotchkiss JH (1989) J Food Biochem 13: 65-75; 2691341
1,2-BenzoquinoneBetaAddition_Lysine	Any;cpd00039	[O:7]=[#6:3]-1-[#6:4]=[#6;h1:5]-[#6:6]=[#6:1]-[#6:2]-1=[O:8].[#6:10]-[#7H2,#16H1:9]>>[#6:10]-[*:9]-[#6:5]-1=[#6:4]-[#6:3](-[#8:7])=[#6:2](-[#8:8])-[#6:1]=[#6:6]-1	Any	4980678
1,4-BenzoquinoneAddition_1,4-Benzoquinone	Any;cf00001	[#6:9]-[#7,#16;H1:10].[O:7]=[#6:4]-1-[#6:3]=[#6:2]-[#6:1](=[O:8])-[#6:6]=[#6H1:5]-1>>[#6:9]-[*:10]-[#6:2]-1=[#6:1](-[#8:8])-[#6:6]=[#6:5]-[#6:4](-[#8:7])=[#6:3]-1	Any	3200250; 21527774
