Name	Reactants	SMARTS	Products	Comments
1.1.1_01	cpd00003;Any	[#6;H1D3:4]=[#6;H0D3:3][#6;H1D3:2]=[#7+;H0D3:1].[#1;D1R0:8][#8;H1D2R0:7][#6;H1D4:5]([#1;D1R0:6])([#8,#16,#14:9])[#8,#16,#14:10]>>[#1+:6].[*:9]-[*:5](-[*:10])=[*:7].[*:8]-[*:4]-[*:3]=[*:2]-[N+0:1]	cpd00004;cpd00067;Any
1.1.1_02	Any;cpd00003	[#1;D1R0:2][#8;H1D2R0:3][#6:4]([#1;D1R0:1])[#6:5]-;!@[#6;H0D3:6](=[#8;H0D1R0:7])[#8;H1D2R0:8][#1;D1R0:9].[#6;H1D3:13]=[#6;H0D3:12][#6;H1D3:11]=[#7+;H0D3:10]>>[#1+:9].[*:7]=[*:6]=[*:8].[*:1]-[*:5]-[*:4]=[*:3].[*:2]-[*:13]-[*:12]=[*:11]-[N+0:10]	cpd00067;cpd00011;Any;cpd00004	
1.1.1_02.rev	Any;cpd00004;cpd00011;cpd00067	[#1;D1R0:1][#6:4][#6:3]=[#8;H0D1R0:2].[#1;D1R0:5][#6;H2D4:9][#6;H0D3:8]=[#6;H1D3:7][#7;H0D3:6].[#8;H0D1R0:11]=[#6;H0D2R0:10]=[#8;H0D1R0:12].[#1;R0:13]>>[#7+:6]=[*:7]-[*:8]=[*:9].[*:5]-[*:2]-[*:3](-[*:1])-[*:4]-[*:10](=[*:11])-[*:12]-[*:13]	cpd00003;Any	
1.1.1_03	Any;cpd00001;cpd00003	[#1;D1R0:11][#7:3]1[#6:2]=[#7:1][#6:9]2=[#6:4]1[#7:5]=[#6:6]([#1;D1R0:10])[#7:7][#6:8]2.[#1;D1R0:12][#8;H2D2R0:13][#1;D1R0:14].[#6;H1D3:18]=[#6;H0D3:17][#6;H1D3:16]=[#7;H0D3:15]>>[#1+:10].[*:14]-[*:18]-[*:17]=[*:16]-[N+0:15].[*:11]-[*:1]-1-[*:2]=[*:3]-[*:4]-2=[*:9]-1-[*:8]-[*:7]-[*:6](=[*:13])-[*:5]-2-[*:12]	cpd00067;cpd00004;Any
1.1.1_04	Any;cpd00003	[#1;D1R0:9][#8;H1D2:10][#6:6]1[#6:5][#8;H0D2:4][#6:3]([#1;D1R0:11])([#8;H1D2:2][#1;D1R0:1])[#6:8]([#8;H1D2R0:13])[#6:7]1[#8;H1D2R0:12].[#6;H1D3:17]=[#6;H0D3:16][#6;H1D3:15]=[#7;H0D3:14]>>[#1+:9].[*:1]-[*:17]-[*:16]=[*:15]-[N+0:14].[*:11]-[*:4]-[*:5]-[*:6]-1-[*:10]-[*:3](=[*:2])-[*:8](-[*:13])-[*:7]-1-[*:12]	cpd00004;cpd00067;Any	
1.1.1_04.rev	cpd00004;Any;cpd00067	[#1;D1R0:1][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#1;D1R0:14][#8;H1D2R0:8][#6:9][#6:10]1[#8;H0D2:13][#6:7](=[#8;H0D1R0:6])[#6:12]([#8;H1D2R0:16])[#6:11]1[#8;H1D2R0:15].[#1;R0:17]>>[#7+:2]=[*:3]-[*:4]=[*:5].[*:17]-[*:13]-[*:10]-1-[*:9]-[*:8]-[*:7](-[*:14])(-[*:6]-[*:1])-[*:12](-[*:16])-[*:11]-1-[*:15]	cpd00003;Any	
1.1.1_05	Any;cpd00003	[#1;D1R0:1][#8;H1D2:2][#6:3][#6:4]([#8;H1D2R0:9])[#6:5]([#8;H1D2R0:10])[#6:6]([#8;H1D2R0:11])[#6:7]([#1;D1R0:8])[#8;H1D2R0:12].[#6;H1D3:16]=[#6;H0D3:15][#6;H1D3:14]=[#7;H0D3:13]>>[#1+:1].[*:8]-[*:16]-[*:15]=[*:14]-[N+0:13].[*:9]-[*:4]-1-[*:3]-[*:2]-[*:7](-[*:12])-[*:6](-[*:11])-[*:5]-1-[*:10]	cpd00004;cpd00067;Any	
1.1.1_05.rev	cpd00067;Any;cpd00004	[#1;R0:1].[#8;H1D2R0:8][#6:4]1[#6:3][#8;H0D2:2][#6:7]([#8;H1D2R0:11])[#6:6]([#8;H1D2R0:10])[#6:5]1[#8;H1D2R0:9].[#1;D1R0:12][#6;H2D4:16][#6;H0D3:15]=[#6;H1D3:14][#7;H0D3:13]>>[#7+:13]=[*:14]-[*:15]=[*:16].[*:1]-[*:2]-[*:3]-[*:4](-[*:8])-[*:5](-[*:9])-[*:6](-[*:10])-[*:7](-[*:11])-[*:12]	cpd00003;Any	
1.1.1_06	Any;cpd00003	[#1;D1R0:1][#8;H1D2:2][#6:3][#6:4]([#8;H1D2R0:8])[#6:5]([#8;H1D2R0:9])[#6:6]([#1;D1R0:7])[#8;H1D2R0:10].[#6;H1D3:14]=[#6;H0D3:13][#6;H1D3:12]=[#7;H0D3:11]>>[#1+:1].[*:7]-[*:14]-[*:13]=[*:12]-[N+0:11].[*:8]-[*:4]-1-[*:3]-[*:2]-[*:6](-[*:10])-[*:5]-1-[*:9]	cpd00004;cpd00067;Any	
1.1.1_06.rev	cpd00067;Any;cpd00004	[#1;R0:1].[#8;H1D2R0:7][#6:4]1[#6:3][#8;H0D2:2][#6:6]([#8;H1D2R0:9])[#6:5]1[#8;H1D2R0:8].[#1;D1R0:10][#6;H2D4:14][#6;H0D3:13]=[#6;H1D3:12][#7;H0D3:11]>>[#7+:11]=[*:12]-[*:13]=[*:14].[*:1]-[*:2]-[*:3]-[*:4](-[*:7])-[*:5](-[*:8])-[*:6](-[*:9])-[*:10]	cpd00003;Any	
