Reactions	Rules
+-BORNEOL-DEHYDROGENASE-RXN	rule0003
+-BORNEOL-DEHYDROGENASE-RXN_reverse	rule0002
+-NEOMENTHOL-DEHYDROGENASE-RXN	rule0003
+-NEOMENTHOL-DEHYDROGENASE-RXN_reverse	rule0002
+-SABINOL-DEHYDROGENASE-RXN	rule0003
+-SABINOL-DEHYDROGENASE-RXN_reverse	rule0002
--BORNEOL-DEHYDROGENASE-RXN	rule0003
--BORNEOL-DEHYDROGENASE-RXN_reverse	rule0002
--LIMONENE-3-MONOOXYGENASE-RXN	rule0005
--LIMONENE-3-MONOOXYGENASE-RXN_reverse	rule0004
--LIMONENE-6-MONOOXYGENASE-RXN	rule0005
--LIMONENE-6-MONOOXYGENASE-RXN_reverse	rule0004
--LIMONENE-7-MONOOXYGENASE-RXN	rule0005
--LIMONENE-7-MONOOXYGENASE-RXN_reverse	rule0004
--MENTHOL-DEHYDROGENASE-RXN	rule0003
--MENTHOL-DEHYDROGENASE-RXN_reverse	rule0002
--MENTHOL-MONOOXYGENASE-RXN	rule0005
--MENTHOL-MONOOXYGENASE-RXN_reverse	rule0004
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	rule0014
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN_reverse	rule0015
1-PHOSPHATIDYLINOSITOL-KINASE-RXN	rule0014
1-PHOSPHATIDYLINOSITOL-KINASE-RXN_reverse	rule0015
1.1.1.117-RXN	rule0002
1.1.1.117-RXN_reverse	rule0003
1.1.1.127-RXN	rule0002
1.1.1.127-RXN_reverse	rule0003
1.1.1.13-RXN	rule0003
1.1.1.13-RXN_reverse	rule0002
1.1.1.134-RXN	rule0003
1.1.1.134-RXN_reverse	rule0002
1.1.1.136-RXN	rule0164
1.1.1.136-RXN_reverse	rule0165
1.1.1.141-RXN	rule0003
1.1.1.141-RXN_reverse	rule0002
1.1.1.145-RXN	rule0003
1.1.1.145-RXN_reverse	rule0002
1.1.1.147-RXN	rule0003
1.1.1.147-RXN_reverse	rule0002
1.1.1.149-RXN	rule0003
1.1.1.149-RXN_reverse	rule0002
1.1.1.150-RXN	rule0003
1.1.1.150-RXN_reverse	rule0002
1.1.1.151-RXN	rule0003
1.1.1.151-RXN_reverse	rule0002
1.1.1.152-RXN	rule0003
1.1.1.152-RXN_reverse	rule0002
1.1.1.166-RXN	rule0003
1.1.1.166-RXN_reverse	rule0002
1.1.1.168-RXN	rule0002
1.1.1.168-RXN_reverse	rule0003
1.1.1.170-RXN	rule0080
1.1.1.170-RXN_reverse	rule0081
1.1.1.176-RXN	rule0003
1.1.1.176-RXN_reverse	rule0002
1.1.1.177-RXN	rule0003
1.1.1.177-RXN_reverse	rule0002
1.1.1.178-RXN	rule0003
1.1.1.178-RXN_reverse	rule0002
1.1.1.181-RXN	rule0678
1.1.1.181-RXN_reverse	rule0679
1.1.1.188-RXN	rule0003
