#ID	Name	SMILES
cpd00067	H+	[H+]
cpd01569	1,2-Benzoquinone	O=C1C=CC=CC1=O
cpd00203	1,3-BPG	O=C(OP(=O)(O)O)[C@H](O)COP(=O)(O)O
cf00001	1,4-Benzoquinone	O=C1C=CC(=O)C=C1
cpd00071	Acetaldehyde	CC=O
cpd00022	AcetylCoa	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
cpd00196	AcetylPhosphate	CC(=O)OP(=O)(O)O
cpd00013	Ammonia	N
cpd00051	Arginine	N=C(N)NCCC[C@H](N)C(=O)O
cpd00059	Ascorbate	O=C1OC(C(O)CO)C(O)=C1O
cpd00132	Asparagine	NC(=O)C[C@H](N)C(=O)O
cpd00146	CarbamoylPhosphate	NC(=O)OP(=O)(O)O
cpd00011	CO2	O=C=O
cpd00010	Coa	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS
cpd01160	Cysteamine	NCCS
cpd00084	Cysteine	N[C@@H](CS)C(=O)O
cpd00335	Dehydroascorbate	O=C1OC(C(O)CO)C(=O)C1=O
cpd00055	Formaldehyde	C=O
cpd00106	Fumarate	O=C(O)/C=C/C(=O)O
cpd00027	Glucose	O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
cpd00023	Glutamate	N[C@@H](CCC(=O)O)C(=O)O
cpd00053	Glutamine	NC(=O)CC[C@H](N)C(=O)O
cpd30635	Glutathione	N[C@@H](CCC(O)=N[C@@H](CS)C(O)=NCC(=O)O)C(=O)O
cpd00229	Glycolaldehyde	O=CCO
cpd10147	Glyoxal	O=CC=O
cpd00040	Glyoxylate	O=CC(=O)O
cpd00025	H2O2	OO
cpd00119	Histidine	N[C@@H](Cc1cnc[nH]1)C(=O)O
cpd22829	HNE	CCCCCC(O)/C=C/C=O
cpd00039	Lysine	NCCCC[C@H](N)C(=O)O
cpd20696	Malondialdehyde	O=CCC=O
cpd00428	MGlyoxal	CC(=O)C=O
cf00002	N2O3	O=N[N+](=O)[O-]
cpd00075	Nitrite	O=NO
cf00003	NitrosooxidanylRadical	[O]N=O
cpd00007	O2	O=O
cpd00009	Pi	O=P(O)(O)O
cpd00016	PyridoxalP	Cc1ncc(COP(=O)(O)O)c(C=O)c1O
cpd00019	S-Adenosylhomocysteine	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
cpd00017	S-Adenosylmethionine	C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
cpd00078	SuccinylCoa	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O
cpd00081	Sulfite	OS(=O)O
cpd00073	Urea	NC(N)=O
cpd00001	Water	O
